stateName,stateAbbr,winner,id,population,popBelow5,popBelow18,popAbove65,popFemale,popWhite,popBlack,popNative,popAsian,popHawaiian,popLatino,popForeignBorn,highSchoolHigher,bachelorHigher,housingUnits,homeownRate,households,personsPerHousehold,perCapita,medianHouseholdIncome,personsBelowPoverty,landArea,popPerSqMile,xcoordinates,ycoordinates,perCapitaCategory,
Alabama,AL,Republican,1,4849377,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,4.1,3.5,83.1,22.6,2207912,69.7,1838683,2.55,23680,43253,18.6,50645.33,94.4,-86.766233,33.001471,1,
Alaska,AK,Republican,2,736732,7.4,25.3,9.4,47.4,66.9,3.9,14.8,6.1,1.3,6.8,7,91.6,27.5,308583,63.8,251899,2.75,32651,70760,9.9,570640.95,1.2,-148.716968,61.288254,3,
Arizona,AZ,Republican,4,6731484,6.4,24.1,15.9,50.3,83.7,4.7,5.3,3.3,0.3,30.5,13.4,85.7,26.9,2909218,64.4,2370289,2.67,25358,49774,17.9,113594.08,56.3,-111.828711,33.373506,2,
Arkansas,AR,Republican,5,2966369,6.5,23.8,15.7,50.9,79.7,15.6,1,1.5,0.3,7,4.5,83.7,20.1,1341033,66.7,1129723,2.53,22170,40768,19.2,52035.48,56,-92.576816,35.080251,1,
California,CA,Democrat,6,38802500,6.5,23.6,12.9,50.3,73.2,6.5,1.7,14.4,0.5,38.6,27,81.2,30.7,13900766,55.3,12542460,2.94,29527,61094,15.9,155779.22,239.1,-119.355165,35.458606,2,
Colorado,CO,Democrat,8,5355866,6.3,23.3,12.7,49.8,87.7,4.5,1.6,3.1,0.2,21.2,9.7,90.2,37,2276184,65.4,1977591,2.53,31109,58433,13.2,103641.89,48.5,-105.203628,39.500656,3,
Connecticut,CT,Democrat,9,3596677,5.3,21.6,15.5,51.2,81.2,11.5,0.5,4.5,0.1,15,13.6,89.2,36.5,1493564,67.8,1355849,2.55,37892,69461,10.2,4842.36,738.1,-72.874365,41.494852,4,
Delaware,DE,Democrat,10,935614,6,21.8,16.4,51.6,70.8,22.2,0.7,3.8,0.1,8.9,8.4,87.7,28.9,417437,72.5,335707,2.63,29819,59878,11.7,1948.54,460.8,-75.561908,39.397164,2,
District Of Columbia,DC,Democrat,11,658893,6.5,17.5,11.3,52.6,43.6,49,0.6,4,0.2,10.4,13.8,88.4,52.4,306174,42.1,263649,2.2,45290,65830,18.6,61.05,9856.5,-77.014001,38.910092,5,
Florida,FL,Republican,12,19893297,5.5,20.4,19.1,51.1,77.8,16.8,0.5,2.8,0.1,24.1,19.4,86.1,26.4,9144250,67.1,7158980,2.61,26236,46956,16.3,53624.76,350.6,-81.634622,27.79585,2,
Georgia,GA,Republican,13,10097343,6.6,24.7,12.4,51.2,62.1,31.5,0.5,3.8,0.1,9.3,9.7,84.7,28,4151190,65.1,3518097,2.71,25182,49179,18.2,57513.49,168.4,-83.868887,33.332208,2,
Hawaii,HI,Democrat,15,1419561,6.4,21.7,16.1,49.4,26.7,2.5,0.4,37.5,10,10.1,17.9,90.4,30.1,530106,57.6,449771,2.96,29305,67402,11.2,6422.63,211.8,-157.524452,21.146768,2,
Idaho,ID,Republican,16,1634464,7,26.4,14.3,49.9,93.5,0.8,1.7,1.4,0.2,12,5.9,88.8,25.1,685099,69.8,579797,2.68,22568,46767,15.5,82643.12,19,-115.133222,44.242605,1,
Illinois,IL,Democrat,17,12880580,6.1,23.2,13.9,50.9,77.5,14.7,0.6,5.3,0.1,16.7,13.8,87.3,31.4,5307222,67.5,4772723,2.63,29666,56797,14.1,55518.93,231.1,-88.380238,41.278216,2,
Indiana,IN,Republican,18,6596855,6.4,24,14.3,50.7,86.1,9.6,0.4,2,0.1,6.6,4.7,87.2,23.2,2829532,70,2481793,2.55,24635,48248,15.4,35826.11,181,-86.261515,40.163935,1,
Iowa,IA,Republican,19,3107126,6.3,23.4,15.8,50.3,92.1,3.4,0.5,2.2,0.1,5.6,4.5,91,25.7,1362124,72.2,1226547,2.42,27027,51843,12.4,55857.13,54.5,-93.049161,41.960392,2,
Kansas,KS,Republican,20,2904021,6.9,24.9,14.3,50.2,86.8,6.3,1.2,2.8,0.1,11.4,6.7,89.8,30.3,1248813,67.5,1110440,2.51,26929,51332,13.7,81758.72,34.9,-96.536052,38.454303,2,
Kentucky,KY,Republican,21,4413457,6.3,22.9,14.8,50.8,88.3,8.2,0.3,1.4,0.1,3.4,3.3,83,21.5,1950382,68.4,1694996,2.5,23462,43036,18.8,39486.34,109.9,-85.241819,37.808159,1,
Louisiana,LA,Republican,22,4649676,6.6,23.9,13.6,51.1,63.4,32.5,0.8,1.8,0.1,4.8,3.9,82.6,21.8,2010868,67,1707852,2.6,24442,44874,19.1,43203.9,104.9,-91.457133,30.69927,1,
Maine,ME,Democrat,23,1330089,4.9,19.5,18.3,51,95,1.4,0.7,1.2,0,1.5,3.4,91.1,27.9,727632,71.8,553823,2.33,26824,48453,13.6,30842.92,43.1,-69.719931,44.313614,2,
Maryland,MD,Democrat,24,5976407,6.2,22.6,13.8,51.5,60.1,30.3,0.6,6.4,0.1,9.3,14,88.7,36.8,2422194,67.6,2146240,2.65,36354,73538,9.8,9707.24,594.8,-76.797396,39.145653,4,
Massachusetts,MA,Democrat,25,6745408,5.4,20.6,15.1,51.5,82.6,8.3,0.5,6.3,0.1,10.8,15,89.4,39.4,2828492,62.7,2530147,2.51,35763,66866,11.4,7800.06,839.4,-71.363628,42.271831,4,
